"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_add_negative","","Sun Feb 01 11:20:02 UTC 2026","passed","Sun Feb 01 11:20:02 UTC 2026","","test_mymath","",""
"","0","test_add_string__expect_exception","","Sun Feb 01 11:20:02 UTC 2026","passed","Sun Feb 01 11:20:02 UTC 2026","","test_mymath","",""
"","1","test_add_positive","","Sun Feb 01 11:20:02 UTC 2026","failed","Sun Feb 01 11:20:02 UTC 2026","","test_mymath","",""
"","0","test_add_zero","","Sun Feb 01 11:20:02 UTC 2026","passed","Sun Feb 01 11:20:02 UTC 2026","","test_mymath","",""
